name,Sorting,Installed_By,Notes,RHEL9_LD,RHEL8_LD,OpenSUSE_15.6_LD,OpenSUSE_15.5_LD,Legacy-OS_OpenSUSE_15.4_LD,Ubuntu_24.04_LD,Ubuntu_22.04_LD,Legacy-OS_Ubuntu_20.04_LD,Linux_RT,Windows_11,Windows_10,Windows_Server_2025,Windows_Server_2022,Windows_Server_2019_64-bit,Legacy-OS_Windows_Server_2016_64-bit,Linux_Download,Linux_RT_Download,Windows_Download,Legacy-OS_RHEL7_LD,Legacy-OS_CENTOS7_LD,Legacy-OS_OpenSUSE_15.3_LD,Legacy-OS_OpenSUSE_15.2_LD,Legacy-OS_OpenSUSE_15.1_LD,Legacy-OS_Ubuntu_18.04_LD,Legacy-OS_Windows_8,Legacy-OS_Windows_7,Legacy-OS_MacOS 11,Legacy-OS_MacOS 10.15
 --- 10xx ---,999.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXI-1000 (PXI PS),1000,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1000B (PXI PS),1000,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1031DC (PXI PS),1031,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1031 (PXI PS),1031,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1033 (PXI PS),1033,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1036 (PXI PS),1036,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1036DC (PXI PS),1036,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,Not Supported,15,Not Supported,Not Supported,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1042 (PXI PS),1042,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1042Q (PXI PS),1042,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXI-1044 (PXI PS),1044,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
